year,per_year,cumulative_sum
1994,1,1
1995,0,1
1996,1,2
1997,0,2
1998,4,6
1999,0,6
2000,6,12
2001,3,15
2002,6,21
2003,4,25
2004,7,32
2005,2,34
2006,1,35
2007,7,42
2008,1,43
2009,1,44
2010,7,51
2011,5,56
2012,7,63
2013,14,77
2014,11,88
2015,6,94
2016,7,101
2017,8,109
2018,20,129
2019,6,135
2020,13,148
2021,6,154
2022,6,160
